Account Number,Rep
AC9900001,93
AC9900004,99
AC9900020,99
AC9900022,85
AC9900043,99
AC9900044,99
AC9900050,99
AC9900053,99
AC9900061,98
AC9900062,99
AC9900064,99
AC9900065,99
AC9900072,99
AC9900080,99
AC9900086,99
AC9900088,85
AC9900092,85
AC9900099,99
AC9900100,99
AC9900101,93
AC9900102,93
AC9900103,93
AC9900104,93
AC9900105,93
AC9900106,93
AC9900107,93
AC9900108,93
AC9900109,93
AC9900110,93
AC9900111,93
AC9900112,93
AC9900113,93
AC9900114,93
AC9900115,93
AC9900116,93
AC9900117,93
AC9900118,93
AC9900119,93
AC9900120,93
AC9900121,93
AC9900122,93
AC9900123,93
AC9900124,93
AC9900125,93
AC9900126,93
AC9900127,93
AC9900128,99
AC9900129,99
AC9900130,99
AC9900131,99
AC9900132,99
AC9900134,99
AC9900135,99
AC9900136,99
AC9900142,93
AC9900144,93
AC9900145,99
AC9900148,99
AC9900149,99
AC9900150,99
AC9900152,99
AC9900153,99
AC9900154,99
AC9900155,99
AC9900156,99
AC9900157,99
AC9900158,98
AC9900159,99
AC9900160,93
AC9900161,93
AC9900162,99
AC9900163,99
AC9900164,99
AC9900165,99
AC9900166,99
AC9900167,99
AC9900168,99
AC9900169,99
AC9900170,99
AC9900171,99
AC9900172,99
AC9900173,85
AC9900174,99
AC9900175,99
AC9900177,99
AC9900178,99
AC9900179,99
AC9900180,99
AC9900181,99
AC9900182,85
AC9900184,99
AC9900185,99
AC9900186,93
AC9900187,93
AC9900188,93
AC9900189,93
AC9900190,93
AC9900191,93
AC9900192,93
AC9900193,93
AC9900194,93
AC9900195,93
AC9900196,93
AC9900197,93
AC9900198,93
AC9900199,93
AC9900200,99
AC9900201,93
AC9900202,
AC9900203,93
AC9900204,93
AC9900205,99
AC9900206,99
AC9900207,99
AC9900208,99
AC9900209,99
AC9900211,99
AC9900212,99
AC9900213,99
AC9900214,99
AC9900215,99
AC9900216,
AC9900217,99
AC9900218,99
AC9900219,99
AC9900220,99
AC9900221,99
AC9900222,99
AC9900223,99
AC9900224,99
AC9900225,
AC9900229,99
AC9900230,99
AC9900231,
AC9900232,99
AC9900233,99
AC9900234,99
AC9900235,99
AC9900236,99
AC9900237,99
AC9900238,99
AC9900239,99
AC9900240,99
AC9900241,93
AC9900243,93
AC9900244,99
AC9900245,99
AC9900246,99
AC9900247,99
AC9900248,99
AC9900250,99
AC9900251,
AC9900252,99
AC9900253,99
AC9900255,99
AC9900256,99
AC9900257,
AC9900258,99
AC9900259,
AC9900260,99
AC9900261,99
AC9900262,99
AC9900263,99
AC9900264,99
AC9900265,99
AC9900266,99
AC9900267,99
AC9900268,99
AC9900269,99
AC9900270,99
AC9900271,99
AC9900272,99
AC9900273,99
AC9900274,99
AC9900275,99
AC9900276,99
AC9900277,99
AC9900278,99
AC9900279,99
AC9900280,99
AC9900281,99
AC9900282,99
AC9900283,99
AC9900284,99
AC9900285,99
AC9900286,99
AC9900287,99
AC9900289,99
AC9900290,99
AC9900291,99
AC9900292,99
AC9900293,99
AC9900294,99
AC9900295,99
AC9900296,99
AC9900297,99
AC9900298,99
AC9900299,99
AC9900300,99
AC9900301,99
AC9900303,99
AC9900304,99
AC9900305,99
AC9900306,99
AC9900307,99
AC9900308,99
AC9900309,99
AC9900310,99
AC9900311,99
AC9900312,99
AC9900313,99
AC9900314,99
AC9900315,99
AC9900316,99
AC9900317,99
AC9900318,99
AC9900319,99
AC9900320,99
AC9900321,99
AC9900322,99
AC9900323,99
AC9900324,99
AC9900325,99
AC9900326,99
AC9900327,99
AC9900328,99
AC9900329,99
AC9900330,99
AC9900331,99
AC9900332,99
AC9900333,99
AC9900334,99
AC9900335,99
AC9900336,85
AC9900337,99
AC9900338,99
AC9900339,99
AC9900340,99
AC9900341,99
AC9900342,99
AC9900343,99
AC9900344,99
AC9900345,99
AC9900346,99
AC9900347,99
AC9900348,99
AC9900349,99
AC9900350,99
AC9900351,99
AC9900352,99
AC9900353,99
AC9900354,99
AC9900355,99
AC9900356,99
AC9900357,99
AC9900358,99
AC9900359,99
AC9900360,99
AC9900361,99
AC9900362,99
AC9900363,99
AC9900364,99
AC9900366,99
AC9900367,99
AC9900368,99
AC9900369,99
AC9900370,99
AC9900371,99
AC9900372,99
AC9900373,99
AC9900374,99
AC9900375,99
AC9900376,99
AC9900377,85
AC9900378,85
AC9900379,85
AC9900380,85
AC9900381,85
AC9900382,85
AC9900384,85
AC9900385,85
AC9900386,85
AC9900387,85
AC9900388,85
AC9900389,85
AC9900390,85
AC9900391,85
AC9900392,85
AC9900393,99
AC9900394,99
AC9900395,85
AC9900397,99
AC9900398,85
AC9900399,
AC9900400,85
AC9900401,98
AC9900403,
AC9900404,93
AC9900406,98
AC9900407,
AC9900408,85
AC9900409,85
AC9900410,
AC9900411,85
AC9900413,85
AC9900414,
AC9900415,99
AC9900416,85
AC9900417,85
AC9900418,85
AC9900419,
AC9900420,
AC9900421,
AC9900422,85
AC9900423,85
AC9900424,85
AC9900425,85
AC9900426,85
AC9900427,
AC9900428,85
AC9900429,85
AC9900430,85
AC9900431,85
AC9900432,85
AC9900433,85
AC9900434,85
AC9900435,85
AC9900436,85
AC9900437,98
AC9900438,98
AC9900439,98
AC9900440,98
AC9900441,99
AC9900442,98
AC9900443,98
AC9900444,99
AC9900445,
AC9900446,85
AC9900447,98
AC9900449,
AC9900450,85
AC9900451,85
AC9900452,85
AC9900453,85
AC9900454,85
AC9900455,96
AC9900456,
AC9900457,
AC9900458,99
AC9900459,
AC9900460,
AC9900461,
AC9900462,85
AC9900463,
AC9900464,85
AC9900465,
ACSSDEPOSIT,
ACSSERROR,
ACSSFEE,
ACSSSYNDICATE,
