,index,ACC#,Trade Date,Settle Date,Entry Type,Symbol,Qty,Price,Gross Amount,Net Amount,Comm,Comm Deduct
0,90,88SN6002,10/17/2024,10/18/2024,S,SPHL,-110,5.0,550.0,546.96,-3.0,10
1,266,88SN6002,10/17/2024,10/18/2024,SXL,SPHL,110,5.0,-550.0,-546.96,-3.0,10
2,91,88SN6113,10/17/2024,10/18/2024,S,SPHL,-290,5.0,1450.0,1446.9,-3.0,10
3,267,88SN6113,10/17/2024,10/18/2024,SXL,SPHL,290,5.0,-1450.0,-1446.9,-3.0,10
4,92,88SN6028,10/17/2024,10/18/2024,S,SPHL,-10000,5.0,50000.0,49992.16,-5.0,10
5,268,88SN6028,10/17/2024,10/18/2024,SXL,SPHL,10000,5.0,-50000.0,-49992.16,-5.0,10
6,93,88SN6172,10/17/2024,10/18/2024,S,SPHL,-1000,5.0,5000.0,4989.71,-10.0,10
7,269,88SN6172,10/17/2024,10/18/2024,SXL,SPHL,1000,5.0,-5000.0,-4989.71,-10.0,10
8,95,88SN6113,10/17/2024,10/18/2024,S,SPHL,-290,5.0,1450.0,1391.9,-58.0,10
9,270,88SN6113,10/17/2024,10/18/2024,SXL,SPHL,290,5.0,-1450.0,-1391.9,-58.0,10
10,97,88SN6168,10/17/2024,10/18/2024,S,SPHL,-6900,5.0,34500.0,34429.03,-69.0,10
11,271,88SN6168,10/17/2024,10/18/2024,SXL,SPHL,6900,5.0,-34500.0,-34429.03,-69.0,10
12,104,88SN6027,10/18/2024,10/21/2024,S,SPHL,-2000,4.244,8488.0,8436.45,-51.0,10
13,272,88SN6027,10/18/2024,10/21/2024,SXL,SPHL,2000,4.244,-8488.0,-8436.45,-51.0,10
14,105,88SN6039,10/18/2024,10/21/2024,S,SPHL,-6000,4.1152,24691.0,24629.35,-60.0,10
15,273,88SN6039,10/18/2024,10/21/2024,SXL,SPHL,6000,4.1152,-24691.0,-24629.35,-60.0,10
16,128,88SN6163,10/22/2024,10/23/2024,S,SPHL,-14200,4.3,61060.0,60914.19,-142.0,10
17,274,88SN6163,10/22/2024,10/23/2024,SXL,SPHL,14200,4.3,-61060.0,-60914.19,-142.0,10
18,130,88SN6003,10/23/2024,10/24/2024,S,SPHL,-10,4.3,43.0,37.98,-5.0,10
19,275,88SN6003,10/23/2024,10/24/2024,SXL,SPHL,10,4.3,-43.0,-32.98,-10.0,10
20,143,88SN6017,10/23/2024,10/24/2024,S,SPHL,-210,4.3,903.0,890.32,-12.6,10
21,276,88SN6017,10/23/2024,10/24/2024,SXL,SPHL,210,4.3,-903.0,-867.92,-35.0,10
